Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_13,14. Oil palm shell,6300,7028.64,7903.04,9539.68,8295.4,6804.44,8474.76,8441.12,12476.72,11893.76,12510.32,12431.88
Province_13,15. Coconut bunch,1619011.71,2565549.67,2210280.82,2552861.59,2253420.64,2895442.36,2212818.32,2344775.57,1641850.37,1811871.86,1492129.75,1776345.12
Province_13,16. Coconut bract,1842323.67,2919418.59,2515147.14,2904980.43,2564237.28,3294813.72,2518034.64,2668192.89,1868312.49,2061785.22,1697940.75,2021358.24
Province_13,17. Coconut shell,1395699.75,2211680.75,1905414.5,2200742.75,1942604,2496071,1907602,2021358.25,1415388.25,1561958.5,1286318.75,1531332
Province_14,1. Rice straw,0,30.87,2246.16,51670.99,32617.34,1849.26,0,0,0,1311.24,230468.56,19691.63
Province_14,2. Rice Husk,0,13.23,962.64,22144.71,13978.86,792.54,0,0,0,561.96,98772.24,8439.27
Province_14,3. Sugarcane leaves,215825.4833,215825.4833,0,0,0,0,0,0,0,0,0,215825.4833
Province_14,4. Bagasse,355477.2667,355477.2667,0,0,0,0,0,0,0,0,0,355477.2667
Province_14,5. Molasse,63478.08333,63478.08333,0,0,0,0,0,0,0,0,0,63478.08333
Province_14,6. Corn leaves & trunk,1012,1179.44,1059.84,2070,669.76,253.92,458.16,384.56,320.16,235.52,187.68,149.04
Province_14,7. Corncobob,132,153.84,138.24,270,87.36,33.12,59.76,50.16,41.76,30.72,24.48,19.44
Province_14,8. Peeled cassava,30071.52,146860.56,93011.04,67905.36,27203.76,35316,81402.48,79304.4,77765.76,38463.12,9650.88,12378.24
Province_14,9. Cassava rhizome,8353.2,40794.6,25836.4,18862.6,7556.6,9810,22611.8,22029,21601.6,10684.2,2680.8,3438.4
Province_14,10. Cassava fiber,2505.96,12238.38,7750.92,5658.78,2266.98,2943,6783.54,6608.7,6480.48,3205.26,804.24,1031.52
Province_14,11. Cassava peels,11694.48,57112.44,36170.96,26407.64,10579.24,13734,31656.52,30840.6,30242.24,14957.88,3753.12,4813.76
Province_14,12 Oil palm bunch,106.24,105.6,80.64,96.64,151.68,158.08,160.96,166.4,171.52,148.8,139.84,125.44
Province_14,13. Oil palm fiber,63.08,62.7,47.88,57.38,90.06,93.86,95.57,98.8,101.84,88.35,83.03,74.48
Province_14,14. Oil palm shell,13.28,13.2,10.08,12.08,18.96,19.76,20.12,20.8,21.44,18.6,17.48,15.68
Province_14,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_14,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_14,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
